11,12,Shipped,F,2023-02-05 10:34:00 UTC,,2023-02-07 02:01:00 UTC,,1
43,36,Shipped,F,2023-03-09 10:18:00 UTC,,2023-03-10 10:51:00 UTC,,1
58,50,Shipped,F,2023-03-06 00:01:00 UTC,,2023-03-06 13:31:00 UTC,,1
99,78,Shipped,F,2023-03-02 07:08:00 UTC,,2023-03-04 20:29:00 UTC,,1
109,87,Shipped,F,2023-02-24 11:11:00 UTC,,2023-02-26 06:04:00 UTC,,1
112,87,Shipped,F,2023-01-03 11:11:00 UTC,,2023-01-05 00:14:00 UTC,,2
118,93,Shipped,F,2023-03-04 13:34:00 UTC,,2023-03-06 19:15:00 UTC,,2
161,128,Shipped,F,2023-03-06 15:03:00 UTC,,2023-03-07 09:18:00 UTC,,2
172,138,Shipped,F,2023-03-03 07:27:00 UTC,,2023-03-03 16:46:00 UTC,,1
230,186,Shipped,F,2023-01-01 09:51:00 UTC,,2023-01-01 12:53:00 UTC,,1
236,191,Shipped,F,2023-03-30 17:16:30.30199 UTC,,2023-04-01 05:03:30.30199 UTC,,1
251,207,Shipped,F,2023-02-16 08:34:00 UTC,,2023-02-17 15:58:00 UTC,,1
252,207,Shipped,F,2023-02-19 08:34:00 UTC,,2023-02-21 18:18:00 UTC,,4
253,207,Shipped,F,2023-02-20 08:34:00 UTC,,2023-02-22 05:37:00 UTC,,1
310,244,Shipped,F,2023-01-05 07:48:00 UTC,,2023-01-05 12:25:00 UTC,,2
353,275,Shipped,F,2023-03-30 07:09:32.581839 UTC,,2023-03-30 14:13:32.581839 UTC,,1
383,294,Shipped,F,2023-03-31 17:04:33.104223 UTC,,2023-03-31 20:11:33.104223 UTC,,1
384,294,Shipped,F,2023-03-31 17:04:33.104223 UTC,,2023-04-03 05:22:33.104223 UTC,,1
385,294,Shipped,F,2023-03-31 17:04:33.104223 UTC,,2023-04-03 00:12:33.104223 UTC,,1
399,306,Shipped,F,2023-03-30 11:07:00 UTC,,2023-04-02 06:20:00 UTC,,1
436,339,Shipped,F,2023-03-10 01:36:00 UTC,,2023-03-12 16:26:00 UTC,,1
463,357,Shipped,F,2023-02-27 14:03:00 UTC,,2023-03-02 02:32:00 UTC,,1
500,383,Shipped,F,2023-03-28 18:33:35.522739 UTC,,2023-03-30 02:02:35.522739 UTC,,1
510,394,Shipped,F,2023-02-23 08:59:00 UTC,,2023-02-26 04:18:00 UTC,,2
521,406,Shipped,F,2023-02-21 07:43:00 UTC,,2023-02-24 06:09:00 UTC,,2
596,463,Shipped,F,2023-01-15 00:59:00 UTC,,2023-01-16 11:30:00 UTC,,1
623,493,Shipped,F,2023-02-04 08:33:00 UTC,,2023-02-04 21:13:00 UTC,,1
735,582,Shipped,F,2023-03-03 11:48:00 UTC,,2023-03-06 05:54:00 UTC,,1
738,583,Shipped,F,2023-01-26 16:57:00 UTC,,2023-01-29 05:11:00 UTC,,2
754,594,Shipped,F,2023-02-28 01:10:00 UTC,,2023-02-28 22:54:00 UTC,,2
758,600,Shipped,F,2023-03-13 03:51:00 UTC,,2023-03-16 03:40:00 UTC,,1
774,610,Shipped,F,2023-03-30 02:57:00 UTC,,2023-03-30 23:47:00 UTC,,2
775,612,Shipped,F,2023-02-05 02:58:00 UTC,,2023-02-06 12:09:00 UTC,,1
777,617,Shipped,F,2023-02-04 09:28:00 UTC,,2023-02-04 17:51:00 UTC,,1
819,640,Shipped,F,2023-03-22 09:16:00 UTC,,2023-03-24 08:51:00 UTC,,1
823,647,Shipped,F,2023-03-12 01:07:00 UTC,,2023-03-12 16:50:00 UTC,,4
877,693,Shipped,F,2023-03-01 18:48:00 UTC,,2023-03-02 08:42:00 UTC,,1
887,698,Shipped,F,2023-03-29 17:45:43.953031 UTC,,2023-03-31 07:46:43.953031 UTC,,1
962,760,Shipped,F,2023-01-22 14:36:00 UTC,,2023-01-24 17:26:00 UTC,,1
1004,801,Shipped,F,2023-01-06 09:02:00 UTC,,2023-01-07 09:41:00 UTC,,2
1013,813,Shipped,F,2023-03-03 13:39:00 UTC,,2023-03-04 06:08:00 UTC,,1
1033,832,Shipped,F,2023-03-29 14:10:47.535254 UTC,,2023-03-30 01:09:47.535254 UTC,,1
1036,835,Shipped,F,2023-03-11 14:20:00 UTC,,2023-03-13 12:57:00 UTC,,1
1057,852,Shipped,F,2023-02-05 11:46:00 UTC,,2023-02-06 23:28:00 UTC,,1
1073,868,Shipped,F,2023-03-24 02:26:00 UTC,,2023-03-24 05:32:00 UTC,,2
1076,870,Shipped,F,2023-03-24 15:00:00 UTC,,2023-03-25 04:39:00 UTC,,2
1132,913,Shipped,F,2023-03-27 03:19:00 UTC,,2023-03-27 04:35:00 UTC,,1
1142,917,Shipped,F,2023-03-24 12:00:00 UTC,,2023-03-25 05:53:00 UTC,,1
1168,938,Shipped,F,2023-01-03 10:25:00 UTC,,2023-01-04 16:49:00 UTC,,1
1188,954,Shipped,F,2023-02-07 15:33:00 UTC,,2023-02-10 10:50:00 UTC,,1
1228,982,Shipped,F,2023-02-28 06:35:00 UTC,,2023-03-01 01:36:00 UTC,,1
